Step,u_k_x,u_k_y,u_k_theta,x,y,theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
35,0.9891,1.2513,0.1286,23.6056,-18.5900,-0.0934,1.1999,1.1808,1.1999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,0.1897,0.2503,0.0087,23.7731,-18.3491,-0.0469,0.1676,0.2408,0.1676,4.7718,1.8312,0.0049,-0.1090,0.2055,-0.1356,0.0193
37,1.6399,1.0699,0.1291,25.3655,-17.4159,0.0674,1.5924,0.9333,1.5924,4.5104,2.0355,0.2768,-0.3184,0.0522,-0.3030,-0.0617
38,0.8886,1.6823,0.1058,26.2056,-15.6719,0.2284,0.8400,1.7440,0.8400,3.9584,2.3786,0.2071,-0.0073,0.0845,0.2845,-0.1003
39,0.4079,0.7101,0.1965,26.4636,-14.8304,0.4601,0.2580,0.8415,0.2580,3.8303,2.3913,0.1734,-0.5240,-0.1769,0.1016,-0.0641
40,1.3187,0.8377,0.1361,27.3098,-13.3659,0.5395,0.8462,1.4644,0.8462,4.4138,-3.6880,-0.6303,-0.2325,0.0652,0.2162,0.1481
41,1.1891,1.9395,0.0966,27.2926,-11.1557,0.6965,-0.0172,2.2102,-0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,0.2064,1.6829,0.0315,26.3148,-9.7120,0.6333,-0.9777,1.4438,-0.9777,4.1927,2.0399,-0.9272,-0.3309,0.1443,-0.0475,-0.0350
43,0.3263,0.2882,0.0707,26.4669,-9.2847,0.7922,0.1521,0.4273,0.1521,4.0940,1.9284,-0.6886,-0.4408,-0.1516,0.1642,-0.1150
44,0.5843,0.1101,0.0320,26.7176,-8.7625,0.9042,0.2507,0.5222,0.2507,4.1180,1.9860,0.1307,-0.3270,0.1223,0.2963,-0.0188
45,1.0774,1.0642,0.0538,26.5317,-7.1592,0.9528,-0.1859,1.6034,-0.1859,3.9172,-3.8321,0.0055,0.0033,-0.0181,0.0529,0.1544
46,0.4585,0.9700,0.0028,26.0827,-6.1597,1.0143,-0.4490,0.9995,-0.4490,3.7604,-3.6321,0.4418,0.1250,-0.0910,0.1002,0.0040
47,0.8133,0.5586,0.0739,25.9422,-5.1981,1.0154,-0.1405,0.9616,-0.1405,4.2284,-3.4937,0.7617,0.4602,-0.0111,0.0194,-0.0375
48,1.3884,1.1169,0.1920,25.7349,-3.4975,1.1443,-0.2073,1.7007,-0.2073,3.4579,-0.0576,-0.1753,0.3414,0.1130,-0.0769,0.1023
