Step,u_k_x,u_k_y,u_k_theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
42,-0.7109,0.3471,0.0140,-0.2207,0.2102,-0.0865,4.3834,-0.1213,-0.4688,0.4275,0.0112,-0.0921,-0.0883
43,0.3380,-0.8520,-0.0070,0.9593,0.3801,0.1163,3.8044,-0.0831,0.0322,-0.3496,-0.0528,0.1920,-0.0295
44,-0.4907,-0.2628,-0.0123,0.3544,-0.1365,0.0682,2.8993,-0.0437,-0.5343,0.4101,0.1364,0.4123,0.1716
45,-0.1389,-0.7163,0.0565,0.4741,-0.3570,0.1409,3.7297,-0.1423,0.0021,-0.0551,-0.0334,-0.1534,-0.0526
46,0.4254,-0.5261,0.0944,0.8264,0.3312,0.0581,2.9832,0.1394,-0.0337,-0.0722,0.0802,-0.0266,-0.0124
47,-0.0574,-0.3265,0.0592,0.6551,-0.3203,-0.0380,2.6079,0.3592,0.3535,-0.2821,0.0573,0.0932,0.0855
48,0.1771,0.4016,-0.0343,-0.1695,-0.0745,0.0064,3.2708,0.3534,0.4204,0.2532,-0.0622,-0.3430,0.0285
49,0.8290,0.8596,-0.0601,-0.2509,1.0676,-0.0261,2.0811,0.1688,-0.0943,0.1379,0.0728,0.4853,0.2439
50,-0.7754,-0.7999,-0.0254,0.2214,-1.3355,-0.1915,3.5243,0.6665,0.0153,-0.4634,0.1615,-0.3310,0.0740
51,0.6278,-0.4147,0.0664,0.6733,0.3804,-0.1211,2.5003,0.7888,-0.0055,0.3115,-0.0436,-0.4894,0.1180
52,0.5959,-0.1508,-0.0242,0.6611,0.2555,-0.1625,2.7705,0.9861,0.0712,0.1157,0.0339,-0.3434,-0.1519
53,0.6918,0.6749,0.0137,0.4456,0.5097,-0.0042,2.3839,1.4253,0.2252,0.2595,-0.2074,-0.3115,-0.0687
54,0.5402,0.7229,0.0866,0.7182,0.3101,0.1417,2.4538,1.4813,0.2256,-0.1270,-0.0795,-0.2495,0.0530
55,-0.7476,-0.9095,-0.0173,-0.0146,-1.5603,0.2842,4.3839,1.2048,0.2484,-0.0456,-0.0575,0.3315,0.0508
56,0.7570,-0.1229,-0.0992,0.6549,0.5272,-0.0443,3.5534,1.3527,0.3010,0.0402,-0.0361,-0.3137,-0.0179
57,0.2311,0.7937,-0.0015,-0.8104,1.1035,-0.0116,2.7707,1.2333,-0.0689,0.2282,0.0927,-0.2494,0.2488
58,0.9459,0.2945,-0.0339,0.1313,1.0524,-0.1356,2.6424,1.9919,-0.5244,-0.1676,-0.0829,0.1262,0.0167
59,0.8863,0.7653,-0.0569,0.8080,1.3727,0.1289,2.9773,-3.8350,-0.1274,-0.4858,0.1626,0.2108,0.0540
60,0.0979,0.1641,-0.0300,0.3326,0.6594,-0.0979,3.0087,-3.6983,-0.4649,0.7293,-0.0664,-0.0005,-0.0119
61,-0.8449,-0.5196,-0.0447,-0.0141,-0.1202,-0.0802,2.9857,-3.6397,-0.0617,-0.6723,-0.1088,-0.4397,0.1379
62,-0.4668,-0.7926,0.0191,0.3149,-1.2731,0.0759,3.1934,2.1485,-0.5518,-0.1177,-0.1090,0.0981,-0.0761
63,-0.2993,0.8720,-0.0055,-0.6400,1.1003,-0.0313,2.8752,-3.7840,0.0598,-0.0015,-0.0221,-0.6325,-0.0332
64,0.4727,0.1931,0.0707,-0.2467,0.6418,0.1538,3.2524,-3.7274,0.3193,-0.6675,-0.0027,-0.4866,0.0034
65,-0.8256,-0.7989,-0.0316,-0.3108,-0.9822,0.0783,1.8298,-3.9649,-0.1494,0.2826,0.1744,0.1941,-0.0384
66,-0.6322,0.3983,-0.0386,-1.0044,-0.3079,-0.0777,0.9446,-3.8115,0.2088,-0.5049,0.0063,-0.1971,0.0812
67,0.3406,-0.6010,-0.0363,0.4393,0.1736,-0.0529,1.9350,-3.7230,-0.0377,0.0098,0.0731,-0.1545,-0.0799
68,-0.6254,-0.1424,-0.0075,-0.3722,-0.6879,0.0173,0.9994,1.9882,-0.4148,-0.0157,-0.1161,0.1178,0.0080
69,0.7331,-0.3874,0.0211,0.6223,0.2808,0.0174,1.7864,-4.1375,-0.0734,-0.0389,-0.0052,0.0534,0.1843
70,0.1702,-0.2742,-0.0549,0.3393,-0.5223,-0.0122,2.3243,2.0990,0.1052,0.1495,-0.0361,0.5188,0.0326
71,0.0553,-0.3247,-0.0510,-0.1219,-0.3164,-0.1036,2.2768,1.8716,-0.4618,0.1398,-0.0760,0.1914,-0.2112
72,-0.1369,0.1037,0.0884,-0.1854,-0.5964,0.1063,2.5058,1.5560,0.4373,0.2454,0.0979,-0.2190,0.0134
73,0.2183,0.5518,-0.0533,-0.4685,-0.0132,-0.0919,2.3295,1.4378,-0.0155,0.0047,0.0528,-0.3625,0.1752
74,0.7340,-0.1888,-0.0316,0.5130,0.2440,0.1790,1.9321,1.6422,-0.1828,-0.1497,-0.1611,-0.2466,-0.0067
75,0.4012,-0.4015,0.0282,0.4572,0.3686,-0.0640,2.2150,1.9365,-0.2171,-0.2695,0.1397,-0.0733,0.1334
76,-0.2146,0.3961,-0.0216,-0.2089,0.0924,-0.0670,2.2664,1.8401,-0.1903,0.0933,0.0559,-0.1263,-0.0863
77,0.3909,-0.7400,-0.0830,0.4494,-0.3839,0.0710,2.3743,1.6364,-0.0046,-0.5046,0.1080,-0.1786,0.0123
78,-0.7902,-0.1254,0.0070,-0.3642,-1.0627,0.0808,2.7549,1.3349,0.5296,-0.2504,-0.1547,0.0352,0.1200
79,0.6215,0.3321,0.0874,-0.2603,0.5944,-0.0038,2.5037,1.3671,-0.3923,-0.1562,-0.0354,-0.1045,0.1191
80,-0.5332,-0.3181,0.0236,-0.2485,-0.3897,0.0673,2.9592,1.1460,0.0206,0.2155,0.0436,0.3876,0.0131
81,0.2667,-0.9377,-0.0503,0.6403,-0.1223,-0.1846,2.7684,1.3716,0.2906,-0.3480,-0.1278,0.0895,0.0596
82,0.6804,0.8846,0.0030,-0.4518,0.9405,-0.0485,1.8698,1.6344,-0.3728,0.5008,0.0065,0.4799,0.0312
83,0.5378,-0.4790,-0.0380,0.7843,0.2627,-0.1051,3.0875,2.0028,-0.1624,0.2639,-0.1806,-0.0929,0.0285
84,0.7708,0.6350,0.0777,-0.4641,0.6190,0.1294,2.2608,2.1399,0.0918,0.4190,-0.1040,-0.2384,-0.0798
85,-0.7792,-0.7529,-0.0508,0.6285,-1.0968,-0.0701,3.0235,1.8371,0.3774,0.5960,-0.0824,-0.2846,-0.1486
86,-0.7362,-0.2999,-0.0588,-0.1595,-0.6914,-0.0331,3.8849,1.6630,0.2853,-0.1924,0.0053,-0.0812,0.0063
87,0.4863,0.5582,-0.0920,-0.1636,0.7176,-0.1853,3.0452,2.0828,0.4804,0.1216,-0.0892,-0.0061,0.1069
88,-0.4381,-0.1704,0.0883,0.0440,-0.1259,-0.0210,3.0174,2.0257,0.2345,0.4688,0.0565,-0.0064,0.0459
